review_id,generated_score
2411,8.4
2272,8.4
2561,6.4
1321,8.6
1639,7.8
2852,8.0
2331,9.4
11042,8.0
10876,8.6
10993,7.5
10975,5.6
10936,6.6
11137,7.9
11103,7.9
11078,7.6
11278,6.0
11062,6.2
11357,7.9
11417,5.3
10941,7.1
11233,8.8
14041,8.2
14205,6.3
14111,8.5
14552,8.7
14219,10.0
14501,7.3
14077,5.9
15645,8.5
16199,7.6
16492,7.0
16188,5.8
15661,6.3
16426,8.1
16633,10.0
26382,10.0
26348,10.0
26315,8.9
26284,7.6
26331,8.1
26299,8.9
26365,8.3
11671,7.6
11824,9.7
11234,8.3
11990,5.9
11625,7.4
11530,8.7
11219,7.7
22197,7.6
22080,9.9
22217,8.8
22108,7.9
22940,10.0
22094,5.4
22647,6.4
21138,8.0
20716,6.4
20062,8.1
19641,8.3
20599,6.9
19479,7.8
20661,8.3
15674,10.0
15827,4.5
16176,7.9
15570,8.1
15610,6.6
15805,6.3
15946,8.9
15941,5.5
16424,6.9
15017,8.2
15120,6.8
14987,8.0
16556,8.0
16087,7.8
14823,5.9
14990,7.4
15005,7.4
14911,7.3
14944,6.7
14874,6.1
14960,9.0
8431,9.0
6670,4.4
5207,10.0
5451,8.3
6465,6.6
7687,9.6
7024,7.1
13019,8.1
13250,7.8
13191,7.8
13127,7.1
13277,8.8
13239,7.7
13032,5.5
13932,6.6
15276,8.7
13853,7.1
15825,8.6
15600,6.3
16004,7.8
16065,6.3
9613,9.6
9664,7.4
10036,8.8
9760,8.2
10061,7.5
9687,7.7
9640,7.3
3284,5.4
2257,8.7
3456,8.6
2742,8.3
3016,6.7
1936,9.2
2047,6.2
18522,2.9
18129,5.9
18661,7.8
18321,7.6
18775,8.7
18962,6.8
19051,7.3
1260,7.5
1238,6.4
1202,7.2
1214,8.4
1190,7.1
1271,6.3
1226,7.6
5488,7.9
6014,8.3
4973,7.7
4764,8.4
5303,7.6
6144,10.0
6317,7.4
642,6.9
452,7.5
567,7.3
697,6.3
780,8.1
377,7.5
257,6.8
14605,8.2
14686,7.9
14620,7.7
14706,7.1
14648,7.7
14526,7.9
14716,7.8
24784,9.0
25341,8.2
24952,7.1
25321,7.5
25217,5.8
24486,8.5
25031,9.6
5024,7.9
5750,6.6
5999,7.0
5496,5.5
6044,6.8
5372,7.9
4986,8.7
20935,7.0
20743,7.7
20946,9.5
20984,7.5
20869,8.1
20966,7.0
20991,6.5
2617,8.1
2471,9.2
2554,5.8
2001,8.0
2320,8.0
2305,8.5
2423,7.4
21900,6.3
21590,8.8
21600,7.6
21734,7.2
21581,8.7
21626,8.0
21631,7.5
23174,7.8
21952,4.4
23219,7.6
23039,7.7
23197,6.1
22184,5.1
23073,9.3
